text,punct,symb,tokenized,nonstop,stemmed,polarity,subjectivity,sentiment
@shivam_bisht99 thanx shivam ❤️🤗,shivambisht thanx shivam ❤️🤗, shivam_bisht99 thanx shivam ❤️🤗,"['shivambisht', 'thanx', 'shivam', '']","['shivambisht', 'thanx', 'shivam', '']","['shivambisht', 'thanx', 'shivam', '']",0.0,0.0,
" #pathalapathala #andavarswag #vikramfromjune3 
happy to see lot of support coming from social media for #vikram . in twit…"," pathalapathala andavarswag vikramfromjune3 
happy to see lot of support coming from social media for vikram  in twit…"," #pathalapathala #andavarswag #vikramfromjune3 
happy to see lot of support coming from social media for #vikram . in twit…","['', 'pathalapathala', 'andavarswag', 'vikramfromjune3', 'happy', 'to', 'see', 'lot', 'of', 'support', 'coming', 'from', 'social', 'media', 'for', 'vikram', 'in', 'twit', '']","['', 'pathalapathala', 'andavarswag', 'vikramfromjune3', 'happy', 'see', 'lot', 'support', 'coming', 'social', 'media', 'vikram', 'twit', '']","['', 'pathalapathala', 'andavarswag', 'vikramfromjune3', 'happi', 'see', 'lot', 'support', 'come', 'social', 'media', 'vikram', 'twit', '']",0.4166666666666667,0.5333333333333333,
@thisissurreal_ shivam is a delight and i only wish him well. haters gon hate,thisissurreal shivam is a delight and i only wish him well haters gon hate, thisissurreal_ shivam is a delight and i only wish him well. haters gon hate,"['thisissurreal', 'shivam', 'is', 'a', 'delight', 'and', 'i', 'only', 'wish', 'him', 'well', 'haters', 'gon', 'hate']","['thisissurreal', 'shivam', 'delight', 'wish', 'well', 'haters', 'gon', 'hate']","['thisissurr', 'shivam', 'delight', 'wish', 'well', 'hater', 'gon', 'hate']",-0.4,0.95,
 45 habits that are killing you:, 45 habits that are killing you, 45 habits that are killing you:,"['', '45', 'habits', 'that', 'are', 'killing', 'you']","['', '45', 'habits', 'killing']","['', '45', 'habit', 'kill']",0.0,0.0,
@hema_sharma18 congratulations🎉🎉 hema,hemasharma18 congratulations🎉🎉 hema, hema_sharma18 congratulations🎉🎉 hema,"['hemasharma18', 'congratulations', 'hema']","['hemasharma18', 'congratulations', 'hema']","['hemasharma18', 'congratul', 'hema']",0.0,0.0,
first we should invest in ourself then create a active income .after focusing on building asset not liabilities and… https://t.co/4lbgpfj7va,first we should invest in ourself then create a active income after focusing on building asset not liabilities and… httpstco4lbgpfj7va,first we should invest in ourself then create a active income .after focusing on building asset not liabilities and… https://t.co/4lbgpfj7va,"['first', 'we', 'should', 'invest', 'in', 'ourself', 'then', 'create', 'a', 'active', 'income', 'after', 'focusing', 'on', 'building', 'asset', 'not', 'liabilities', 'and', 'httpstco4lbgpfj7va']","['first', 'invest', 'ourself', 'create', 'active', 'income', 'focusing', 'building', 'asset', 'liabilities', 'httpstco4lbgpfj7va']","['first', 'invest', 'ourself', 'creat', 'activ', 'incom', 'focus', 'build', 'asset', 'liabil', 'httpstco4lbgpfj7va']",0.058333333333333334,0.4666666666666667,
god bless you thank you and we love shivam don't we ? 🤩 https://t.co/etp8jqfyeu,god bless you thank you and we love shivam dont we  🤩 httpstcoetp8jqfyeu,god bless you thank you and we love shivam don't we ? 🤩 https://t.co/etp8jqfyeu,"['god', 'bless', 'you', 'thank', 'you', 'and', 'we', 'love', 'shivam', 'dont', 'we', 'httpstcoetp8jqfyeu']","['god', 'bless', 'thank', 'love', 'shivam', 'dont', 'httpstcoetp8jqfyeu']","['god', 'bless', 'thank', 'love', 'shivam', 'dont', 'httpstcoetp8jqfyeu']",0.5,0.6,
@astrowithraquel wow. what a skank ass thing to do. if it wasn't for @witchdctralex and shivam on ig. i would not h… https://t.co/cgncmsqaic,astrowithraquel wow what a skank ass thing to do if it wasnt for witchdctralex and shivam on ig i would not h… httpstcocgncmsqaic, astrowithraquel wow. what a skank ass thing to do. if it wasn't for  witchdctralex and shivam on ig. i would not h… https://t.co/cgncmsqaic,"['astrowithraquel', 'wow', 'what', 'a', 'skank', 'ass', 'thing', 'to', 'do', 'if', 'it', 'wasnt', 'for', 'witchdctralex', 'and', 'shivam', 'on', 'ig', 'i', 'would', 'not', 'h', 'httpstcocgncmsqaic']","['astrowithraquel', 'wow', 'skank', 'ass', 'thing', 'wasnt', 'witchdctralex', 'shivam', 'ig', 'would', 'h', 'httpstcocgncmsqaic']","['astrowithraquel', 'wow', 'skank', 'ass', 'thing', 'wasnt', 'witchdctralex', 'shivam', 'ig', 'would', 'h', 'httpstcocgncmsqaic']",0.1,1.0,
@ipo_mantra money cannot buy sound sleep.,ipomantra money cannot buy sound sleep, ipo_mantra money cannot buy sound sleep.,"['ipomantra', 'money', 'cannot', 'buy', 'sound', 'sleep']","['ipomantra', 'money', 'cannot', 'buy', 'sound', 'sleep']","['ipomantra', 'money', 'cannot', 'buy', 'sound', 'sleep']",0.4,0.4,
" genesis has been with us for 3 months, and we have constantly seen how amazing team and @gharliera1 are❤️ also much love…", genesis has been with us for 3 months and we have constantly seen how amazing team and gharliera1 are❤️ also much love…, genesis has been with us for 3 months  and we have constantly seen how amazing team and  gharliera1 are❤️ also much love…,"['', 'genesis', 'has', 'been', 'with', 'us', 'for', '3', 'months', 'and', 'we', 'have', 'constantly', 'seen', 'how', 'amazing', 'team', 'and', 'gharliera1', 'are', 'also', 'much', 'love', '']","['', 'genesis', 'us', '3', 'months', 'constantly', 'seen', 'amazing', 'team', 'gharliera1', 'also', 'much', 'love', '']","['', 'genesi', 'us', '3', 'month', 'constantli', 'seen', 'amaz', 'team', 'gharliera1', 'also', 'much', 'love', '']",0.26666666666666666,0.4777777777777778,
"why are you asking us to report ? you are dgp, ask your men to go on him and also report this complain to your near… https://t.co/zm5bze6o4j",why are you asking us to report  you are dgp ask your men to go on him and also report this complain to your near… httpstcozm5bze6o4j,why are you asking us to report ? you are dgp  ask your men to go on him and also report this complain to your near… https://t.co/zm5bze6o4j,"['why', 'are', 'you', 'asking', 'us', 'to', 'report', 'you', 'are', 'dgp', 'ask', 'your', 'men', 'to', 'go', 'on', 'him', 'and', 'also', 'report', 'this', 'complain', 'to', 'your', 'near', 'httpstcozm5bze6o4j']","['asking', 'us', 'report', 'dgp', 'ask', 'men', 'go', 'also', 'report', 'complain', 'near', 'httpstcozm5bze6o4j']","['ask', 'us', 'report', 'dgp', 'ask', 'men', 'go', 'also', 'report', 'complain', 'near', 'httpstcozm5bze6o4j']",0.0,0.0,
" on international day of united nations peacekeepers, we celebrate all peacekeepers for their unwavering courage in providing…", on international day of united nations peacekeepers we celebrate all peacekeepers for their unwavering courage in providing…, on international day of united nations peacekeepers  we celebrate all peacekeepers for their unwavering courage in providing…,"['', 'on', 'international', 'day', 'of', 'united', 'nations', 'peacekeepers', 'we', 'celebrate', 'all', 'peacekeepers', 'for', 'their', 'unwavering', 'courage', 'in', 'providing', '']","['', 'international', 'day', 'united', 'nations', 'peacekeepers', 'celebrate', 'peacekeepers', 'unwavering', 'courage', 'providing', '']","['', 'intern', 'day', 'unit', 'nation', 'peacekeep', 'celebr', 'peacekeep', 'unwav', 'courag', 'provid', '']",0.0,0.0,
@sweetjazzcity is it me or that little kid up there just removed the moon like a biscuit 🍪,sweetjazzcity is it me or that little kid up there just removed the moon like a biscuit 🍪, sweetjazzcity is it me or that little kid up there just removed the moon like a biscuit 🍪,"['sweetjazzcity', 'is', 'it', 'me', 'or', 'that', 'little', 'kid', 'up', 'there', 'just', 'removed', 'the', 'moon', 'like', 'a', 'biscuit', '']","['sweetjazzcity', 'little', 'kid', 'removed', 'moon', 'like', 'biscuit', '']","['sweetjazzc', 'littl', 'kid', 'remov', 'moon', 'like', 'biscuit', '']",-0.1875,0.5,
 memer tweeting on twitter and ss uploading on instagram https://t.co/5tfzowu5vt, memer tweeting on twitter and ss uploading on instagram httpstco5tfzowu5vt, memer tweeting on twitter and ss uploading on instagram https://t.co/5tfzowu5vt,"['', 'memer', 'tweeting', 'on', 'twitter', 'and', 'ss', 'uploading', 'on', 'instagram', 'httpstco5tfzowu5vt']","['', 'memer', 'tweeting', 'twitter', 'ss', 'uploading', 'instagram', 'httpstco5tfzowu5vt']","['', 'memer', 'tweet', 'twitter', 'ss', 'upload', 'instagram', 'httpstco5tfzowu5vt']",0.0,0.0,
